data,estado,nomeCidade,codigo,casos,mortes
2020-05-03,BA,Ituaçu,291720,0,0
2020-10-10,MG,São Tomé das Letras,316520,0,0
2020-08-07,MG,João Pinheiro,313630,5,1
2020-12-02,MG,Jacutinga,313490,0,14
2020-07-02,MA,Fernando Falcão,210408,0,0
2020-10-27,MG,Estrela do Indaiá,312470,0,0
2020-11-04,BA,Brotas de Macaúbas,290450,0,0
2020-07-17,BA,Acajutiba,290030,2,2
2020-11-28,GO,Palminópolis,521590,1,2
2020-07-17,MG,Campo Belo,311120,0,7
2020-09-25,CE,Martinópole,230790,0,7
2020-05-12,BA,Iuiu,291733,0,0
2020-08-03,BA,Jacaraci,291740,0,0
2020-11-12,MG,Piranguinho,315100,0,4
2020-07-16,GO,Matrinchã,521295,1,0
2020-04-27,GO,Petrolina de Goiás,521680,0,0
2020-10-20,GO,Itaberaí,521040,8,48
2020-04-14,AM,Maraã,130280,0,0
2020-11-04,GO,Marzagão,521290,1,1
2020-08-11,GO,Buriti de Goiás,520393,0,0
2020-06-29,CE,Nova Russas,230930,0,12
2020-11-10,BA,Pindobaçu,292460,3,12
2020-09-11,BA,Candeal,290640,0,0
2020-09-30,BA,Almadina,290090,2,6
2020-06-12,BA,Marcionílio Souza,292080,0,0
2020-09-13,BA,Rio de Contas,292670,0,0
2020-08-11,CE,Catunda,230365,1,2
2020-09-29,CE,Frecheirinha,230450,1,17
2020-04-29,CE,Araripe,230130,0,0
2020-06-07,MA,Jenipapo dos Vieiras,210547,0,2
2020-10-30,BA,Cravolândia,290950,0,0
2020-11-15,MG,Capinópolis,311260,4,8
2020-09-06,MG,Barra Longa,310570,0,0
2020-09-10,BA,São Félix,292900,8,3
2020-08-16,MA,Barra do Corda,210160,2,24
2020-10-20,BA,Serra Preta,293040,1,10
2020-07-03,MG,Congonhas do Norte,311810,2,0
2020-11-28,BA,Feira da Mata,291077,0,1
2020-08-04,ES,Bom Jesus do Norte,320110,0,5
2020-05-22,GO,Pires do Rio,521740,0,1
2020-11-17,AL,São Luís do Quitunde,270850,1,20
2020-11-28,MG,Januária,313520,0,11
2020-11-27,BA,América Dourada,290115,0,1
2020-08-05,BA,Serra do Ramalho,293015,0,0
2020-12-05,BA,Seabra,292990,23,6
2020-06-27,MG,Guidoval,312880,0,0
2020-10-05,ES,Pancas,320400,2,11
2020-07-24,ES,Vila Pavão,320515,6,0
2020-04-28,MA,Pio XII,210870,0,0
2020-04-12,MG,Capitão Andrade,311265,0,0
2020-10-23,GO,Cidade Ocidental,520549,10,42
2020-08-06,BA,Jandaíra,291790,4,1
2020-08-20,MG,Matias Cardoso,314085,1,0
2020-10-11,GO,Bonfinópolis,520355,0,8
2020-11-02,CE,Pindoretama,231085,2,18
2020-10-26,BA,Biritinga,290360,0,1
2020-10-30,BA,Euclides da Cunha,291070,1,7
2020-04-30,AL,Santa Luzia do Norte,270790,1,0
2020-04-16,MG,Guimarânia,312890,0,0
2020-11-14,MG,Resplendor,315430,0,8
2020-10-21,AM,Jutaí,130230,0,16
2020-10-18,BA,Salinas da Margarida,292730,2,7
2020-05-05,AP,Amapá,160010,0,0
2020-07-19,ES,Mantenópolis,320330,0,3
2020-09-17,BA,Novo Horizonte,292303,0,0
2020-09-01,MA,Graça Aranha,210470,0,2
2020-09-23,MG,Cambuquira,311070,0,2
2020-04-18,MG,Bertópolis,310660,0,0
2020-12-06,MA,São João dos Patos,211110,0,14
2020-11-17,MG,Maripá de Minas,314020,0,0
2020-12-05,MG,Dona Euzébia,312290,28,2
2020-04-07,CE,Missão Velha,230840,0,0
2020-08-05,MG,Alfenas,310160,0,20
